Major,Year,chatbot_used,freq_overall,use_brainstorming,use_outlining,use_drafting,use_summarizing,use_grammar,use_coding,use_explaining,use_referencing,perception_improves_learning,perception_hinders_crit_think,perception_plagiarism_concern,perception_accuracy,perception_essential_tool
Teknik Informatika,2025,ChatGPT (OpenAI),5,4,4,2,3,4,5,2,2,4,4,4,2,5
Ilmu Komunikasi,2023,ChatGPT (OpenAI),5,5,4,4,4,4,1,5,3,4,2,5,4,5
Psikologi,2023,"Gemini (Google), ChatGPT (OpenAI)",3,3,2,3,4,3,2,3,3,3,3,4,2,3
Teknik Informatika,2025,ChatGPT (OpenAI),3,4,3,3,2,2,3,3,3,3,4,4,2,3
Teknik Telekomunikasi ,2023,"Gemini (Google), Claude, ChatGPT (OpenAI)",5,5,4,5,4,4,5,4,3,4,4,3,2,4
Rekayasa Perangkat Lunak,2025,"ChatGPT (OpenAI), Claude, Gemini (Google)",5,4,5,5,5,4,5,5,5,5,5,5,3,3
Teknik Informatika,2024,"Claude, ChatGPT (OpenAI), Gemini (Google)",3,5,4,4,4,3,5,5,4,4,2,5,3,4
Doctor of Medicine ,2025,"Gemini (Google), ChatGPT (OpenAI)",4,2,5,5,3,3,1,2,5,4,5,2,1,3
Ilmu Komunikasi,2023,"ChatGPT (OpenAI), Gemini (Google), Perplexity",5,5,5,5,5,3,1,5,5,3,5,5,2,3
Teknik Informatika,2024,"Claude, ChatGPT (OpenAI)",5,5,4,4,3,2,4,5,3,4,5,4,3,5
Kebidanan,2023,ChatGPT (OpenAI),4,4,3,3,4,3,1,3,3,4,2,4,2,3
Teknik Informatika,2025,"Gemini (Google), ChatGPT (OpenAI)",4,5,3,4,1,1,4,5,2,5,2,4,3,5
Teknik Informatika,2023,"Gemini (Google), ChatGPT (OpenAI)",5,5,4,4,5,5,5,5,5,5,5,5,1,5
Teknik Informatika,2025,ChatGPT (OpenAI),5,5,2,3,2,4,5,5,4,5,5,5,5,5
Teknik Informatika,2024,"ChatGPT (OpenAI), Gemini (Google)",5,4,3,2,3,4,5,5,2,4,5,3,3,5
Sistem Informasi,2023,"Claude, ChatGPT (OpenAI)",3,4,5,2,5,5,5,5,4,5,5,2,3,4
Teknik Informatika,2024,"ChatGPT (OpenAI), Gemini (Google), Deepseek",5,5,5,5,5,5,5,5,5,5,5,5,5,5
Teknik Informatika,2024,"Claude, Gemini (Google), ChatGPT (OpenAI)",5,5,3,4,4,4,5,5,2,4,4,4,2,5
Teknik Informatika,2023,"Claude, Gemini (Google), ChatGPT (OpenAI)",4,4,4,4,4,2,4,4,3,5,5,5,3,4
Teknik Informatika,2025,ChatGPT (OpenAI),4,4,2,2,3,3,4,5,3,3,3,3,1,5
Pendidikan Multimedia,2022,"ChatGPT (OpenAI), Gemini (Google)",4,2,3,1,4,4,3,5,1,3,4,4,1,3
Teknik Informatika,2021,"Claude, Microsoft Copilot (Bing Chat)",2,3,2,2,2,1,4,1,1,2,3,3,2,1
Teknik Informatika,2023,"Claude, ChatGPT (OpenAI)",4,4,3,4,3,5,4,5,2,4,5,4,3,5
Teknik Informatika,2025,"Gemini (Google), ChatGPT (OpenAI)",4,3,4,4,4,5,3,4,4,4,3,3,3,3
Teknik Konservasi Energi,2023,"Gemini (Google), Claude, ChatGPT (OpenAI)",5,5,5,4,5,5,5,5,4,4,3,1,2,5
Matematika,2023,"Gemini (Google), ChatGPT (OpenAI)",4,3,2,2,4,1,3,3,1,3,2,4,2,4
